80,930,2,1/1/2012,,Starterspakket aanvragen,9.75
81,931,2,1/1/2012,,1e Pakket of rekening aanvragen,9.75
82,931,3,1/1/2012,,Extra Pakket of rekening aanvragen,3.44
83,931,8,1/1/2012,,Pakket of rekening opzeggen,2.47
84,932,110,1/1/2012,,Overstapservice aanvragen,4.87
85,932,131,1/1/2012,,Frequentie afschift wijzigen,1.98
86,932,158,1/1/2012,,Overschrijfboekje aanvragen,1.98
35,932,919,1/1/2012,,Incassoblokkade aanvragen zakelijk,1.98
87,932,922,1/1/2012,,Incassoblokkade opzeggen zakelijk,1.98
88,932,954,1/1/2012,,Transactielimiet wijzigen,1.98
89,932,975,1/1/2012,7/3/2013,Vertegenwoordiger aan- of afmelden,1.98
90,932,976,1/1/2012,7/3/2013,Gemachtigde aan- of afmelden,1.98
91,932,1012,1/1/2012,,Overschrijfboekje opzeggen,1.98
92,933,2,1/1/2012,,Toegang aanvragen,1.98
93,933,8,1/1/2012,,Toegang opzeggen,1.98
94,933,144,1/1/2012,,Wachtwoord of activeringscode Mijn ING,1.44
114,933,146,1/8/2013,,Wijzigen mobiele nummer,1.44
95,933,957,1/1/2012,4/9/2014,Wachtwoord opnieuw aanvragen,1.98
96,933,958,1/1/2012,,Gebruiker verwijderen,1.98
97,933,1204,1/1/2012,,Gebruiker toevoegen,1.98
106,935,2,1/7/2013,,Aanvragen machtiging Mijn ING,1.98
98,1100,990,1/1/2012,,Klacht Stortautomaat melden,4.87
99,1100,1102,1/1/2012,,Algemene klacht melden,4.87
115,1104,1125,2/9/2013,,Aanmelden wettelijke vertegenwoordiger,1.98
65,2206,2,1/1/2012,,Groei Groter Rekening,5.58
66,2206,5,1/1/2012,,Automatisch sparen Groei Groter Rekening aanvragen wijzigen of opzeggen,1.44
