1.18547E+17,JFS-MH-Aurangabad-Barshi,Bank Lobby,IVIS8297C4,JFS,5/12/2019 10:39,Team Member,Camera Event,Guard / Staff on Site,0d 0h 0m 33s
1.18547E+17,SBI-Mumbai-Saki Vihar Rd Andheri East,Lobby Camera 1,IVIS2654C1,SBI-MUMBAI,5/12/2019 10:39,Team Member,Vibration_Front_glass,ATM Transaction,0d 0h 0m 42s
1.18547E+17,BOB-Delhi-Sangli Saket Onsite,Backroom,IVIS6218C3,BOB,5/12/2019 10:39,Team Member,Video Loss,ATM Transaction,0d 0h 0m 23s
1.18547E+17,CBI-GJ-Rajkot-Junagarh Nani Monpari Onsite,Lobby Camera ,IVIS5887C1,CBI,5/12/2019 10:39,Team Member,Fire Smoke Sensor,False Activity,0d 0h 0m 21s
1.18547E+17,JFS-TN-Coimbatore-Ganapathy,Gold Teller 2,IVIS5414C3,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 14s
1.18547E+17,BOB-Delhi-Nangli Vihar EXTN Offsite,Lobby,IVIS10759C1,BOB,5/12/2019 10:39,Team Member,Glass Break Sensor,ATM Transaction,0d 0h 0m 13s
1.18547E+17,SBI-Lucknow-Allahabad-Jasara Main Road,Lobby Camera 1,IVIS3627C1,SBI-Lucknow,5/12/2019 10:39,Team Member,GUARD_TOUR,False Activity,0d 0h 0m 33s
1.18547E+17,TSI-AB Akkayyapalem,Lobby Camera 1,IVIS2722C1,TSI-AB,5/12/2019 10:39,Team Member,GUARD_TOUR,ATM Transaction,0d 0h 0m 32s
1.18547E+17,TSI-AB-Secunderabad-Anand Bagh Malkajgiri,Lobby Camera 1,IVIS2716C1,TSI-AB,5/12/2019 10:39,Team Member,GUARD_TOUR,ATM Transaction,0d 0h 0m 24s
1.18547E+17,Central Bank ZO Bhopal-POC,Cam2,IVISC001C10,CBI-POC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 21s
1.18547E+17,IDFC-BP-MH-Mumbai-Malad,ATM Lobby,IVIS8349C2,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 19s
1.18547E+17,IDFC-BP-MH-Mumbai-Andheri West-Link Road,ATM Lobby,IVIS8348C6,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff on site,0d 0h 0m 20s
1.18547E+17,JSFB-WB-Purba Midnapur-Tamluk,Entrance,IVIS5558C4,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 12s
1.18547E+17,SBI-Bhopal-HPCL Raisen Road,Lobby Camera 1,IVIS3416C1,SBI-Bhopal,5/12/2019 10:39,Team Member,GUARD_TOUR,ATM Transaction,0d 0h 0m 27s
